pod,podscheduled,ready,delta_s
monolithic-pattern-0,2026-07-14T13:47:26Z,2026-07-14T13:48:07Z,41
monolithic-pattern-dashboard-0,2026-07-14T13:47:26Z,2026-07-14T13:48:35Z,69
