pod,podscheduled,ready,delta_s
dynamic-pattern-0,2026-05-26T21:58:32Z,2026-05-26T22:06:21Z,469
dynamic-pattern-dashboard-0,2026-05-26T21:58:32Z,2026-05-26T22:07:19Z,527
